x,y,pitchType,pitchTypeFull,type,Vel,HorzBrk,IndVertBrk,RelX,RelZ,StuffPlus
1.608522353,0.4686896782,SL,Slider,Slider,82.7,-13,-8.3,-1.2,6,106
2.079077647,1.133527824,SL,Slider,Slider,83.9,-12.1,-5.1,-1.4,6.1,111
-0.9119929412,-0.7942319986,FA,Fastball,Fastball,95.9,-1.3,9.1,-1.3,6.2,81
-1.858503529,-2.074084519,SL,Slider,Slider,85.9,-9.9,-7.8,-1.4,6.1,122
-0.2734531765,-0.07020578779,SL,Slider,Slider,84.3,-12.5,-7.8,-1.3,6.1,114
0.7203501176,2.27541671,FA,Fastball,Fastball,97.1,0.1,9.9,-1.5,6.4,83
0.5295162353,1.008403824,FA,Fastball,Fastball,96.1,-0.3,10.5,-1.7,6.2,80
-2.643232941,-1.493146923,SL,Slider,Slider,84.9,-6.7,-2.7,-1.5,6.2,102
-1.602084706,0.8639922311,FA,Fastball,Fastball,96.1,-4.3,6.9,-1.4,6.4,85
-0.2869637647,0.670245872,FA,Fastball,Fastball,95.8,-1.2,8.3,-1.7,6.2,82
0.5793529412,0.006169210405,FA,Fastball,Fastball,96.5,-0.4,4.3,-1.7,6.1,93
0.01159575529,1.981732632,FA,Fastball,Fastball,97.2,-1.5,14.1,-1.4,6.4,86
-2.383185882,0.05213008496,FA,Fastball,Fastball,97.3,-1.1,4.8,-1.3,6.1,96
-0.3242343529,-0.5252644925,FA,Fastball,Fastball,96.7,-2.1,12.7,-1.6,6.3,83
-0.4757336471,0.7364302778,FA,Fastball,Fastball,98.1,-1.5,12.6,-1.4,6.4,85
0.5646409412,2.107330502,FA,Fastball,Fastball,96.9,-2.4,10.1,-1.3,6.3,84
-0.5588442353,1.874815189,FA,Fastball,Fastball,97.9,-3.9,13.2,-1.4,6.4,86
0.3917096471,1.212139837,FA,Fastball,Fastball,97,1.9,10.3,-1.6,6.1,81
0.2927576471,-0.5635461045,FA,Fastball,Fastball,96.7,4.9,9.5,-1.6,6.2,75
-0.6057769412,0.6104028782,FA,Fastball,Fastball,97.6,-0.4,10.3,-1.4,6,85
-1.216702588,-0.3877896664,FA,Fastball,Fastball,97.9,0.2,12.4,-1.5,6.3,84
0.3036070588,1.130540495,FA,Fastball,Fastball,94.7,0.9,15.2,-1.8,6.2,82
-1.740804706,-0.6400377418,FA,Fastball,Fastball,94.3,-1.5,11.5,-1.8,6.1,77
-0.8609025882,0.6411146802,FA,Fastball,Fastball,94.9,4.1,9.4,-1.9,6,72
0.5509807059,-0.4222619864,FA,Fastball,Fastball,95.5,3,12.1,-1.8,6.3,73
0.3758117647,0.4423115972,FA,Fastball,Fastball,96.9,-3.7,8.6,-1.5,6.2,86
-0.1122714353,0.6945296691,FA,Fastball,Fastball,97.3,-0.6,6.2,-1.4,6.4,92
-1.034343529,0.687356849,FA,Fastball,Fastball,97.7,-3.3,12,-1.1,6.5,85
0,,FC,Cutter,Cutter,-,-,-,-,-,97
0.07288588235,-0.3901767869,FA,Fastball,Fastball,94.8,-0.2,6.3,-1.6,6.3,80
-1.128076235,-0.0140606726,FA,Fastball,Fastball,94.9,-4,5,-1.5,6.1,82
-1.161975529,-0.4481713364,FA,Fastball,Fastball,96.9,-2.1,8.1,-1.5,6.3,87
-2.949981176,-0.5167022833,FA,Fastball,Fastball,95.6,0.2,9.7,-1.5,6.3,79
-0.3436588235,-0.07493886768,FA,Fastball,Fastball,96,-0.9,9.3,-1.5,6.3,81
-0.4935275294,1.705590753,FA,Fastball,Fastball,96.6,-1.8,9.1,-1.4,6.3,84
0.283872,1.048845034,FA,Fastball,Fastball,95.1,3.3,8.9,-1.6,6.3,75
-2.478352941,-0.7147364504,FA,Fastball,Fastball,95.5,-5.1,11.9,-1.6,6.2,81
-0.1532103529,1.806400745,FA,Fastball,Fastball,95.5,1.2,12.9,-1.8,6.2,78
1.128518118,1.060520133,FA,Fastball,Fastball,94,3.8,8.7,-2.1,5.9,71
0.4042672941,-0.23933994,FA,Fastball,Fastball,95.8,2.8,12.5,-1.6,6.4,75
-0.3104710588,0.2148342427,FA,Fastball,Fastball,96.4,-0.7,15,-1.6,6.3,87
-1.693736471,-2.884962781,SL,Slider,Slider,83.1,-12.4,-8.2,-1.3,6.1,108
0.4256541176,0.8188886327,FA,Fastball,Fastball,94.9,3.5,10.6,-1.6,6.1,72
-0.6924423529,-0.1949761614,FA,Fastball,Fastball,96.2,0.6,4.2,-1.5,6.2,93
-0.3191901176,-1.318211579,SL,Slider,Slider,83.6,-10.7,-1.3,-1.7,6.4,111
-0.1309392,-0.5659017137,SL,Slider,Slider,84.6,-13.6,-9.4,-1.3,6.3,123
-0.8727727059,-1.561828614,FA,Fastball,Fastball,95.9,-1.1,4.2,-1.2,6.4,91
-0.4037251765,-0.6594273249,FA,Fastball,Fastball,95.3,3.1,4.3,-1.5,6.2,87
-1.723736471,-2.215549296,SL,Slider,Slider,83.5,-15.5,-4.3,-1.3,6.4,124
-2.159703529,-2.238769868,CU,Curveball,Curveball,83.4,-9.5,-12.7,-1.2,6.1,106
0.5589331765,-1.001832504,CU,Curveball,Curveball,82.7,-7.7,-13.3,-1.5,6.1,101
-0.3306818824,-0.548381316,FA,Fastball,Fastball,95.9,-4.8,9.6,-1.4,6.3,81
-1.449741176,-0.1676182504,FA,Fastball,Fastball,97.2,-5.5,10.4,-1.2,6.5,84
-0.9145807059,0.9335088242,FA,Fastball,Fastball,95.6,-3.8,10.7,-1.4,6.4,81
0.5092672941,0.4881705731,FA,Fastball,Fastball,94.3,-1.4,4.1,-1.3,6.1,81
-1.661011765,-1.550943961,SL,Slider,Slider,83.2,-16.5,-4.8,-1.4,6.3,125
-0.1049630118,0.4725877959,SL,Slider,Slider,88.2,-3.4,1,-1.7,5.9,116
2.810837647,2.024820952,CU,Curveball,Curveball,79.5,-8.9,-11.9,-1.6,6.2,91
-1.666969412,0.07403839066,FA,Fastball,Fastball,92.9,-3.9,10.3,-1.8,6.3,74
-1.874978824,-0.4483795374,FA,Fastball,Fastball,94.8,-1.8,9.2,-1.7,6.1,78
0.3014781176,1.339728209,FA,Fastball,Fastball,93.7,-2.1,8.5,-2,6.2,74
-2.544663529,-0.7359269695,FA,Fastball,Fastball,93.1,-3.9,13.6,-1.5,6.2,81
1.333314353,0.4034643612,FA,Fastball,Fastball,93.2,2,13.2,-2,6.2,72
-1.233416471,1.268851075,FA,Fastball,Fastball,93.3,-4.7,7.1,-1.5,6.2,73
