x,y,pitchType,pitchTypeFull,type,Vel,HorzBrk,IndVertBrk,RelX,RelZ,StuffPlus
0.2698475294,0.4367041815,FA,Fastball,Fastball,97.9,-1.4,8.1,-1.6,6.3,90
-1.454795294,-2.130498337,FA,Fastball,Fastball,98.5,3.4,8.1,-1.4,6.5,89
-1.180221176,-1.067608843,FA,Fastball,Fastball,98.2,-6.4,8.4,-1.5,6.4,90
-1.491529412,-0.412413389,FA,Fastball,Fastball,97.5,-4.7,13.8,-1.4,6.3,85
-0.9179604706,0.0688248825,FA,Fastball,Fastball,99,-1.4,4.8,-1.7,6.2,105
-2.113214118,-0.8928513594,FA,Fastball,Fastball,98.1,1.4,6.3,-1.5,6.2,95
0.6793242353,0.3530381518,FA,Fastball,Fastball,98.1,0.3,11.4,-1.8,6.3,84
-0.7714432941,0.5085308592,FA,Fastball,Fastball,99,-0.1,9.4,-1.2,6.4,92
-0.1646470588,-0.5150533852,FA,Fastball,Fastball,98.8,-1,11.5,-1.6,6.2,88
-3.668795294,-1.697334571,SL,Slider,Slider,87.5,-9.3,-4.2,-1.8,5.9,126
0.2405463529,1.215452491,FA,Fastball,Fastball,98,-1.1,9.7,-1.6,6.3,88
0.007588884706,0.2348035992,FA,Fastball,Fastball,98.1,6.2,1.8,-1.5,6.2,104
-0.5688197647,-1.660272057,FA,Fastball,Fastball,98.7,2.3,4.5,-1.6,6.2,103
-0.9759529412,-2.426677297,FA,Fastball,Fastball,96.5,2.5,-11.1,-1.6,6.2,167
2.128404706,1.133839219,FA,Fastball,Fastball,97.4,5,8.4,-1.6,6.3,80
0.7168602353,0.6037369018,FA,Fastball,Fastball,95.9,-1.2,9.1,-1.6,6.2,81
0.9768211765,-0.2190484102,FA,Fastball,Fastball,97,6.4,11.6,-1.7,6.3,71
0.740328,0.0164006062,FA,Fastball,Fastball,97,-1.1,9.1,-1.6,6.2,85
1.565407059,1.122194712,FA,Fastball,Fastball,98,-5.3,9.8,-1.4,6.4,88
-0.6069261176,1.339603203,FA,Fastball,Fastball,97.5,-1.5,13.5,-1.3,6.4,84
0.5920305882,-1.183579832,FA,Fastball,Fastball,98.3,6.9,9.5,-1.5,6.3,78
-0.7771157647,-0.7573347358,FA,Fastball,Fastball,97.7,2.2,6.8,-1.4,6.3,91
3.046051765,1.712819546,FA,Fastball,Fastball,98.5,-2.8,5.6,-1.7,6.3,99
0.9284216471,0.1754242206,FA,Fastball,Fastball,98.4,5.3,13.3,-1.6,6.2,76
0.5164263529,0.0731671607,FA,Fastball,Fastball,98.2,2.2,7.2,-1.3,6.2,92
0.020712,-0.1723792489,FA,Fastball,Fastball,98.3,0,8.4,-1.5,6.2,91
1.934541176,-0.01288579906,FA,Fastball,Fastball,98.6,0.2,7,-1.9,6.2,96
0.7687524706,0.01327881113,FA,Fastball,Fastball,97.5,0.5,12.6,-1.6,6.3,82
-1.180737882,-1.409313532,SL,Slider,Slider,86.2,-9.2,-6.6,-1.9,5.9,122
-3.39168,-3.857752844,SL,Slider,Slider,86.3,-19,-8,-1.8,6.1,144
1.849228235,0.6976023731,FA,Fastball,Fastball,95.3,-0.2,6.7,-1.6,6.2,82
-0.3584823529,1.519065725,FA,Fastball,Fastball,97.3,0.3,7.6,-1.6,6.2,88
0.5010705882,-0.5457332875,FA,Fastball,Fastball,95.9,0.8,4.4,-1.6,6.2,90
-0.6394856471,-0.5766716723,FA,Fastball,Fastball,97.2,-0.8,7.1,-1.6,6.2,89
0.3200936471,1.465218435,FA,Fastball,Fastball,96.4,-1.7,4.3,-1.6,6.1,92
0.1158855529,-0.3666715693,FA,Fastball,Fastball,96.3,1.7,12.7,-1.6,6.2,78
-0.1946047059,1.070031701,FA,Fastball,Fastball,96.1,0.1,6.3,-1.6,6.2,86
0.6952362353,-2.189464022,FA,Fastball,Fastball,95.8,-0.4,5,-1.8,6,88
-0.6412814118,-1.347480048,FA,Fastball,Fastball,95.9,1.4,4.9,-1.5,6.1,88
1.647811765,0.3793774412,FA,Fastball,Fastball,96,-0.4,5.4,-1.6,6.1,88
0.4331562353,1.46353558,FA,Fastball,Fastball,93.9,-2,7.3,-2.1,6,75
-1.534898824,-0.6454021839,FA,Fastball,Fastball,94,-5.5,2.6,-2,5.9,80
-1.144777412,0.2711786435,FA,Fastball,Fastball,93.8,-1.2,11.6,-2,6,75
0.4879736471,0.8123280495,FA,Fastball,Fastball,96.1,-2.3,10.9,-1.7,6.2,81
0.4820512941,-0.2242753647,FA,Fastball,Fastball,95.1,0,5.6,-1.6,6.2,83
0.2758277647,2.201073686,FA,Fastball,Fastball,97.8,1.6,9,-1.6,6.3,86
0.3371124706,-0.4670833469,FA,Fastball,Fastball,96.4,-5.3,14.9,-1.6,6.2,87
1.096140706,0.2023501464,FA,Fastball,Fastball,97.3,-1.5,5.2,-1.6,6.2,95
-0.9227364706,0.1768332834,FA,Fastball,Fastball,97.3,-3.8,5.9,-1.3,6.3,93
-0.5854277647,1.39218931,FA,Fastball,Fastball,96.6,-0.6,6.1,-1.6,6,89
-1.154906824,1.107631267,FA,Fastball,Fastball,96.2,-0.2,6.4,-1.8,6.1,86
-0.1753214118,-0.01115840794,FA,Fastball,Fastball,96.7,-2.5,4,-1.8,6,95
-1.959642353,-1.751549617,SL,Slider,Slider,85.8,-11,-8.6,-1.8,6,125
-0.07697209412,0.823217702,FA,Fastball,Fastball,96.9,0.9,15.4,-1.5,6.2,85
0.06268870588,-1.087182851,FA,Fastball,Fastball,95.9,-1,12.1,-1.6,6.2,80
-0.3901821176,-0.6975692893,FA,Fastball,Fastball,95.7,-1.8,10,-1.7,6.2,80
-1.328559529,0.9773767899,FA,Fastball,Fastball,94.7,2.5,11.7,-1.8,6.2,73
-1.152731294,0.08012127772,FA,Fastball,Fastball,95.3,-0.9,11.6,-1.9,6.1,78
-1.945482353,-0.9920018462,FA,Fastball,Fastball,95.8,1,11.1,-1.9,6.1,78
-0.5186527059,-0.788771943,FA,Fastball,Fastball,94.7,2.5,13.6,-2,6.2,74
0.5629849412,-0.6164676486,FA,Fastball,Fastball,93.7,8.9,9.4,-2.1,6.1,69
-1.059542118,-0.3444329645,FA,Fastball,Fastball,96.7,-1.1,12.7,-1.7,6.2,82
0.3892178824,0.08577763886,FA,Fastball,Fastball,97.5,1.8,8.8,-1.4,6.2,86
-1.036208471,-1.707344413,FA,Fastball,Fastball,97.4,0.6,4.9,-1.3,6.3,96
0.2526324706,0.4894666495,FA,Fastball,Fastball,98,-0.4,7.2,-1.4,6.4,93
-1.167546353,-1.239468795,FA,Fastball,Fastball,97.9,-1.9,7.5,-1.6,6.2,93
-1.061861647,-0.6922031416,FA,Fastball,Fastball,97.1,-1.3,8.1,-1.5,6.2,88
-1.525072941,-2.207036179,SL,Slider,Slider,85.8,-8.1,-3.7,-1.7,6,112
-0.8240414118,-1.356254878,SL,Slider,Slider,87.1,-9.4,-4,-1.6,6,125
-1.194505412,-2.018848097,FA,Fastball,Fastball,97.3,-6.6,1,-1.3,6.2,102
-0.7281148235,1.113143075,FA,Fastball,Fastball,98.2,-5.2,8.1,-1.4,6.2,92
0.4732051765,-0.1656546817,FA,Fastball,Fastball,97,-5.5,8,-1.5,6.2,86
-0.6258437647,-0.154498414,FA,Fastball,Fastball,96.9,-4.1,8.5,-1.3,6.2,86
0.4888037647,-0.7227285444,FA,Fastball,Fastball,95.7,-1.6,2,-1.6,6,96
0.08006258824,0.1188800932,FA,Fastball,Fastball,95.5,-3.6,8.9,-1.8,6.1,80
-1.686818824,-0.1545665067,FA,Fastball,Fastball,96,-1.5,6.3,-1.7,6.3,86
-1.607181176,-1.606076971,SL,Slider,Slider,84.1,-10,-4.4,-1.8,6,106
-0.7562428235,1.064857224,FA,Fastball,Fastball,95.1,-1,4.7,-1.7,6.2,85
-0.8996541176,-1.641345032,FA,Fastball,Fastball,95.6,3.3,4.7,-1.7,6.2,87
-1.694117647,-0.3299811532,FA,Fastball,Fastball,96.7,-2.2,6.3,-1.8,6.1,89
0.031272,-1.270426254,FA,Fastball,Fastball,96.2,3.7,8.1,-1.9,6.1,80
1.175356235,1.661648239,FA,Fastball,Fastball,95.7,0.5,8.6,-1.8,6.2,80
-1.092091765,-1.14648335,FA,Fastball,Fastball,95.9,-1.8,8.8,-1.7,6.1,82
-0.9014047059,-0.1482740594,FA,Fastball,Fastball,96.1,-4.1,5.2,-1.7,6.1,88
-2.453957647,-1.67224302,FA,Fastball,Fastball,96.6,-1.7,10,-1.5,6.2,83
-1.501454118,-0.3699261003,FA,Fastball,Fastball,96.1,5.7,9.6,-1.4,6.2,73
-0.6333529412,-0.942746992,SL,Slider,Slider,84.5,-18.2,-5.9,-1.8,5.9,133
-2.421698824,-1.424650485,SL,Slider,Slider,87.4,-12,-4.2,-1.6,6,132
-2.416672941,-0.7004072331,FA,Fastball,Fastball,97,-0.4,6.7,-1.3,6.3,90
0.6344894118,0.1379213586,FA,Fastball,Fastball,97,-0.1,7.2,-1.2,6.3,89
-1.153838118,-0.7449491306,SL,Slider,Slider,86.1,-18,-7.7,-1.6,6,142
-0.7397477647,-2.772576045,SL,Slider,Slider,85.7,-17,-9.9,-1.7,5.9,139
-0.2135265882,0.6807262059,FA,Fastball,Fastball,95.9,2.5,9.5,-1.5,6.2,77
-0.8494630588,-1.093587521,SL,Slider,Slider,85.7,-15.5,-7.2,-1.6,6,135
-0.4129185882,-1.30037734,FA,Fastball,Fastball,96.5,4.3,5.9,-1.6,6.2,86
-1.188744,0.427039081,FA,Fastball,Fastball,95.8,-2.4,12.2,-1.6,6.2,81
0.914832,-1.305312582,FA,Fastball,Fastball,96.4,1.1,8.6,-1.5,6.1,82
-0.1687835294,0.396087238,FA,Fastball,Fastball,97.3,2.1,12.6,-1.4,6.2,79
0.3665025882,0.07676471879,FA,Fastball,Fastball,97.1,-0.3,11.8,-1.5,6.2,82
-0.1249648941,-0.04964068332,SL,Slider,Slider,86.5,-12.2,-2.4,-1.7,5.9,127
-1.15704,-0.4554541664,SL,Slider,Slider,85.1,-14.4,-6.8,-1.8,5.9,126
0.4765934118,0.4569583308,FA,Fastball,Fastball,96.6,3.7,5.7,-1.4,6.2,88
-2.406734118,-1.596615056,SL,Slider,Slider,86.2,-16.4,-1,-1.6,6,137
-0.5665298824,-0.4594258348,FA,Fastball,Fastball,96.4,-1.2,7.1,-1.3,6.2,86
-1.256044235,-1.93119216,SL,Slider,Slider,85,-16.4,-7.8,-1.5,6.1,131
-0.5930004706,0.01696581496,FA,Fastball,Fastball,97.1,-1.1,6.7,-1.4,6.2,91
-2.234555294,-1.123548119,FA,Fastball,Fastball,96.1,1.3,7.5,-1.4,6.2,83
-1.906997647,-1.184214222,SL,Slider,Slider,85.1,-11.1,-4.4,-1.6,6,116
0.3249755294,1.005461844,FA,Fastball,Fastball,95.4,-1.4,8.5,-1.5,6.2,80
-0.7490456471,1.066292265,FA,Fastball,Fastball,94.9,-2.3,3.9,-1.5,6.1,85
-1.911049412,-1.34772894,FA,Fastball,Fastball,96.3,-1.7,8.6,-1.4,6.1,83
-0.2599905882,-0.4624193231,FA,Fastball,Fastball,95.1,-3,6.3,-1.5,6.2,81
-3.161901176,-4.034996567,SL,Slider,Slider,84.9,-8.7,-4.8,-1.8,6,108
-3.026414118,0.396085684,FA,Fastball,Fastball,95.6,-2.7,10.9,-1.2,6.2,80
-1.481703529,-1.39230229,FA,Fastball,Fastball,96.7,0.6,9.9,-1.2,6.3,82
-0.3103595294,-0.3021972821,SL,Slider,Slider,85.3,-13.7,-2.8,-1.7,5.9,127
2.033364706,0.3377126005,CH,Changeup,Changeup,91.4,7.2,7.1,-1.8,5.9,72
0.2394621176,-0.2036535544,FA,Fastball,Fastball,95.8,3.9,8.9,-1.4,6.3,76
0.1357929882,-0.7492871185,FA,Fastball,Fastball,97.7,6.7,10.5,-1.4,6.2,75
-0.9500329412,0.3887957092,FA,Fastball,Fastball,97.3,1.1,16.4,-1.4,6.2,88
-0.8609491765,0.2707658765,SL,Slider,Slider,89.6,-5.1,3.1,-1.6,6.1,114
0.5735251765,1.982842287,FA,Fastball,Fastball,96.1,0.4,9.3,-1.4,6.2,81
-0.1129798588,-1.122595139,FA,Fastball,Fastball,95.1,2.2,8.5,-1.5,6.2,77
-0.4151887059,0.01570566006,FA,Fastball,Fastball,95.4,1,10,-1.5,6.2,77
-1.592894118,-2.33535891,SL,Slider,Slider,84.1,-6.3,-3.9,-1.8,6.1,96
-1.885736471,-0.02501819824,FA,Fastball,Fastball,93,-0.4,7.1,-2,6,72
-1.342483765,0.07353589096,FA,Fastball,Fastball,92.8,-1.3,7.4,-1.9,6.1,72
-1.795454118,-1.483464761,FA,Fastball,Fastball,93.1,0.5,7.7,-1.9,6,72
-2.386517647,-0.3653601728,FA,Fastball,Fastball,93.3,-2.5,7.4,-1.9,6.1,73
-0.5877825882,0.1016924594,FA,Fastball,Fastball,92.9,-2,6.9,-1.7,6.1,72
1.877661176,1.098099017,FA,Fastball,Fastball,94.4,-2.1,8.8,-1.7,6.1,76
-1.424484706,1.120485505,FA,Fastball,Fastball,95.7,-4.8,8.4,-1.5,6.1,81
-0.1143035294,-0.5531236934,FA,Fastball,Fastball,94.1,3.9,10.6,-1.6,6.2,69
-0.8375421176,-0.2194393021,SL,Slider,Slider,87.2,-12.9,-1.1,-1.7,5.9,130
-1.707741176,-0.2658972413,FA,Fastball,Fastball,94.7,2.5,5.8,-1.7,6.1,80
-0.4334315294,0.1912237094,FA,Fastball,Fastball,95.5,-0.6,8.8,-1.6,6.1,80
0.5050305882,-1.292366654,FA,Fastball,Fastball,94.7,2.7,9.6,-1.7,6.1,73
0.3797816471,-0.3298463425,SL,Slider,Slider,84,-10.3,-4.9,-1.6,6.1,106
-0.3373129412,1.170627443,FA,Fastball,Fastball,93.7,0.7,11.7,-1.2,6.4,73
-1.585087059,-1.479675635,FA,Fastball,Fastball,94.3,3.2,10.4,-1.3,6.3,71
-2.452658824,-0.2162746643,SL,Slider,Slider,85.2,-15.8,-1.9,-1.7,6.1,134
-0.08453562353,1.517048516,FA,Fastball,Fastball,95.1,-1.4,9.5,-1.7,6.1,78
-1.7892,0.2363206092,FA,Fastball,Fastball,93.7,-4.8,7.9,-1.5,6.1,74
-0.9449209412,-0.2770485242,FA,Fastball,Fastball,96.3,-2.1,11,-1.1,6.2,82
-1.235397176,-0.8946313414,FA,Fastball,Fastball,97.4,-1.5,10.2,-1,6.4,85
-2.170108235,-3.115582703,SL,Slider,Slider,87.1,-8.5,-3.8,-1.2,6.1,125
0.2512291765,0.05020707531,FA,Fastball,Fastball,97.1,-0.4,9.6,-0.9,6.4,84
0.3465134118,-1.128130255,FA,Fastball,Fastball,95.7,-1.4,12.2,-1.5,6.2,80
0.757464,0.560181405,FA,Fastball,Fastball,95.5,-3.9,11.5,-1.6,6.3,80
-0.4401712941,-1.16981429,FA,Fastball,Fastball,96.3,0.6,8,-1.5,6.3,83
-0.5501124706,0.185328083,FA,Fastball,Fastball,97.5,-0.3,11.4,-1.3,6.3,83
-1.057123765,-1.748684841,SL,Slider,Slider,85.6,-13.4,-6.1,-1.2,6,130
0.05073444706,-0.02691673575,FA,Fastball,Fastball,96.1,-1.3,8.1,-1.1,6.3,83
1.732362353,1.455416525,FA,Fastball,Fastball,96.6,0.4,8,-1.1,6.3,84
-1.146399529,-0.1821777904,FA,Fastball,Fastball,95.2,-2.5,11.4,-1.1,6.4,80
-2.973049412,-1.499166748,SL,Slider,Slider,84.4,-12.5,-4.2,-1.2,6,119
1.445322353,1.500136677,FA,Fastball,Fastball,94.9,-2.8,12,-1.2,6.3,80
0.6692908235,-0.153389126,FA,Fastball,Fastball,96.5,1.7,7.5,-1.3,6.3,84
-0.7953472941,0.6683714152,FA,Fastball,Fastball,95.4,-3.2,8,-1.1,6.2,80
1.484061176,0.7821949273,FA,Fastball,Fastball,95.6,-0.9,9.1,-1,6.3,80
-0.4852715294,-0.22803908,FA,Fastball,Fastball,95.7,1,11.8,-1.6,6.2,77
-0.4878127059,0.2218230744,FA,Fastball,Fastball,95,-2.6,7.1,-1.6,6,80
-1.743924706,-1.021079436,SL,Slider,Slider,83.6,-11.1,-4.5,-1.5,6,109
-0.1529774118,0.4703137857,FA,Fastball,Fastball,94.3,-3.5,2.7,-1.7,5.9,83
1.298270118,0.7699852309,FA,Fastball,Fastball,96,3.3,9.9,-1.6,6.2,76
0.637224,-0.8310675679,FA,Fastball,Fastball,93.4,6,8.6,-1.6,6.1,67
-0.5284235294,0.6875552239,FA,Fastball,Fastball,96.3,-2.3,10.3,-1.4,6.4,82
2.668574118,1.585119556,FA,Fastball,Fastball,96.6,0.9,12.4,-1.1,6.4,79
1.063784471,2.752838419,SL,Slider,Slider,84,-13.3,-6.7,-1.6,6,118
0.07322287059,-1.15016759,FA,Fastball,Fastball,96.5,-1.9,7.1,-1.1,6.2,87
0.9111783529,-0.1848666948,FA,Fastball,Fastball,96.5,-2.8,8.4,-1.2,6.2,84
-0.3637369412,-0.4393619841,FA,Fastball,Fastball,97,-3.4,9.8,-1,6.3,84
3.085468235,2.152235233,FA,Fastball,Fastball,97.6,0.7,6.4,-1.2,6.3,93
-0.1970456471,-0.7917468181,FA,Fastball,Fastball,96.8,-1.7,7.1,-1.3,6.2,88
-1.396475294,0.2428802371,FA,Fastball,Fastball,97.3,-1,9,-1.2,6.1,86
-2.641948235,-1.211797771,SL,Slider,Slider,84.7,-12,-6.7,-1.2,6,118
1.131444706,1.001548703,FA,Fastball,Fastball,98.3,-0.1,10.8,-1.1,6.4,86
-2.241374118,-0.5280326556,FA,Fastball,Fastball,96.6,-2.6,9.9,-1,6.2,83
-0.03858776471,-0.6294638363,FA,Fastball,Fastball,96.6,-1.1,10.1,-1.3,6.2,82
0.1407038118,-0.2750410419,FA,Fastball,Fastball,97,-2.4,8.6,-1.1,6.2,86
-0.5396611765,0.04514172984,FA,Fastball,Fastball,96.4,-2.9,7.2,-1.1,6.3,86
-0.469488,0.5487479115,FA,Fastball,Fastball,96.5,-3.3,7.8,-1.2,6.3,85
-0.964296,0.6367936838,FA,Fastball,Fastball,94.6,-1.5,8.8,-1,6.4,77
-2.255336471,0.02423746339,SL,Slider,Slider,84.1,-8.8,-8.1,-1.3,6.1,105
0.08840865882,0.2007538458,FA,Fastball,Fastball,96.1,-2,9.4,-1.1,6.4,82
-1.621722353,-0.6451819604,FA,Fastball,Fastball,97.7,-2.6,8.7,-1,6.3,89
0.6890315294,-0.9033156539,FA,Fastball,Fastball,96.3,1,4.7,-1.3,6.2,92
-0.7230875294,-1.14547696,FA,Fastball,Fastball,95.7,-2.3,6.8,-0.9,6.4,84
0.9568884706,-0.5609914626,CH,Changeup,Changeup,90.1,9,13.3,-1.6,5.9,35
0.3995632941,-1.658125539,FA,Fastball,Fastball,94.6,0.3,9.7,-1.5,6.2,75
0.721344,0.09748839963,FA,Fastball,Fastball,95.2,0,10,-1.4,6.2,77
0.06769171765,-1.784549571,FA,Fastball,Fastball,96.9,1.8,11.3,-1.4,6.1,79
0.9025708235,1.009313719,FA,Fastball,Fastball,96.9,-0.6,9.8,-1.2,6.2,83
-0.7698818824,-0.315228961,FA,Fastball,Fastball,95.3,-1.1,8.3,-1.4,5.9,79
-2.796578824,-1.527680731,SL,Slider,Slider,82,-19.9,-7.6,-1.4,5.9,122
0.1367671059,-0.08512037383,FA,Fastball,Fastball,94.5,-2,3.5,-1.7,5.9,84
-1.771849412,-2.41537961,SL,Slider,Slider,83.9,-5.1,-2.6,-1.5,5.9,94
0.7435821176,-1.241390465,FA,Fastball,Fastball,96.6,1.1,10,-1.1,6.3,81
-0.4658527059,-1.514719807,FA,Fastball,Fastball,95.2,1,8.2,-1,6.2,78
0.3307962353,-0.9533918189,FA,Fastball,Fastball,95.2,-2.8,4.8,-1.1,6.2,84
-2.066032941,-2.942727015,FA,Fastball,Fastball,94.5,-4.2,8.8,-1.6,6.1,77
0.9849529412,0.1851550334,FA,Fastball,Fastball,94.4,2.9,4.3,-1.3,6.2,84
0.2775854118,-1.626727376,SL,Slider,Slider,84.4,-7.1,-5.9,-1.4,6,103
-2.408527059,-1.883749712,FA,Fastball,Fastball,94.3,0.3,10,-1.4,6.2,75
-0.7878945882,-1.235370336,FA,Fastball,Fastball,94.4,-1,8.4,-1.1,6.1,76
1.046119059,-0.4838998036,FA,Fastball,Fastball,94.5,1.1,8.2,-1.4,6.2,76
0.4751816471,-0.7549217854,SL,Slider,Slider,83.3,-9.6,-7.1,-1.3,5.9,101
2.769261176,0.9235001642,CH,Changeup,Changeup,88.7,10,12.3,-1.5,5.9,42
1.312853647,-0.800532339,FA,Fastball,Fastball,94.9,1,12,-1.3,6.1,76
-0.6389110588,-1.39277723,FA,Fastball,Fastball,95.3,0,11.3,-1.1,6.2,77
-0.9462,-0.70872255,CH,Changeup,Changeup,90.9,4.2,5.8,-1.5,5.8,87
-2.328155294,-0.8496733488,FA,Fastball,Fastball,95.6,-1.2,9.7,-1.1,6.3,80
-0.1331587765,-0.7943885484,FA,Fastball,Fastball,95.3,-4,9,-1.1,6.2,79
-0.3423289412,-0.7627262998,SL,Slider,Slider,85.4,-6.4,-3.1,-1.4,6,106
-0.8048230588,-1.215474268,SL,Slider,Slider,85.8,-10.5,-3.1,-1.4,6,121
-1.716211765,-2.435035605,SL,Slider,Slider,83.5,-17.3,-7.7,-1.2,6,125
-0.5443538824,1.506665022,FA,Fastball,Fastball,95,2.9,4.4,-1.2,6.3,86
-1.241165647,-0.3983220145,FA,Fastball,Fastball,96.4,-2.1,6.6,-1,6.2,87
-1.348344,-0.8388966411,FA,Fastball,Fastball,95.1,-0.5,2.6,-1,6.2,91
0.4286795294,-0.5401979924,FA,Fastball,Fastball,95,-0.7,11.1,-1,6.4,77
0.005369844706,0.4789884352,FA,Fastball,Fastball,93.3,-0.2,9.5,-1.3,6.3,72
2.441632941,0.9499344716,SL,Slider,Slider,83.7,-11.2,-1,-1.5,6.1,114
1.78536,0.866024214,FA,Fastball,Fastball,94.2,2.2,7.1,-1.3,6.2,75
0.2954654118,-1.850229566,FA,Fastball,Fastball,94.4,4.9,4.3,-1.4,6.1,83
0.4191811765,-1.439211716,FA,Fastball,Fastball,94.3,3.2,5.7,-1.4,6.2,78
0.2828823529,-0.9106736234,FA,Fastball,Fastball,94.5,-0.4,10.4,-1.1,6.2,76
-0.5073388235,-1.741332767,FA,Fastball,Fastball,94.7,5.2,7.4,-1.1,6.1,75
0.8534258824,0.01619459569,FA,Fastball,Fastball,94.7,4.8,4.6,-1.1,6.2,83
0.4238908235,0.4819552623,FA,Fastball,Fastball,92,-1,2.5,-1.4,6.1,78
-0.8732357647,-0.8237903399,SL,Slider,Slider,83.7,-9.5,-2.1,-1.5,6.2,106
1.730569412,0.8374222689,FA,Fastball,Fastball,95,-1.2,12.6,-1.3,6.4,79
-1.207698353,-1.060326351,SL,Slider,Slider,84.3,-10,0.4,-1.3,6.2,114
-1.019798118,-1.508998256,SL,Slider,Slider,84,-10.3,-5.6,-1.3,6,108
-0.3108889412,1.27329377,FA,Fastball,Fastball,94.7,-1.2,11.1,-1.3,6.3,77
-0.8089087059,-1.090301848,FA,Fastball,Fastball,92.6,-1.4,9,-1.4,6.1,71
-1.059804706,-1.137817866,FA,Fastball,Fastball,93.7,-0.8,7.7,-1.3,6.2,74
1.701952941,1.662724654,FA,Fastball,Fastball,95,-1,10.2,-1.1,6.2,78
-1.087894588,0.3038625067,FA,Fastball,Fastball,96.1,0.4,7.4,-1.3,6.3,84
-1.603849412,0.4280013144,FA,Fastball,Fastball,97.9,-2.1,6.5,-1.3,6.4,95
-1.98768,1.664417852,FA,Fastball,Fastball,98.2,-1.6,8.4,-1.1,6.5,91
-2.696527059,-1.10414164,FA,Fastball,Fastball,97.1,-2,3.5,-1.1,6.4,99
-0.7175421176,0.9066483115,FA,Fastball,Fastball,96.7,-1.6,8.8,-1.2,6.4,84
1.435609412,0.8579870309,FA,Fastball,Fastball,98.2,3.4,8.3,-1.3,6.4,87
-1.233736941,-0.2951606643,SL,Slider,Slider,84.9,-8.6,-4,-1.6,6.1,108
-0.1203247059,-0.04460513412,SL,Slider,Slider,85.2,-10,-7,-1.5,6.1,117
-0.9810197647,-0.3952405588,FA,Fastball,Fastball,98.2,-2.5,9.5,-1.4,6.3,89
-1.411719529,-0.340968754,FA,Fastball,Fastball,98.1,-1.1,7.8,-1.4,6.3,92
-2.260574118,-0.8236049524,FA,Fastball,Fastball,97.5,0.6,6.1,-1.3,6.3,93
-0.4804221176,-1.081362486,FA,Fastball,Fastball,99.8,0.9,6.7,-1.2,6.3,102
-0.3106602353,-0.3311076262,FA,Fastball,Fastball,96.3,0.9,5.5,-1.7,6.1,88
-1.967421176,-1.017144141,FA,Fastball,Fastball,96.5,-0.3,8,-1.5,6.5,85
-0.3283990588,0.6152523675,FA,Fastball,Fastball,95.5,-0.4,6.5,-1.7,6.2,83
-2.304127059,0.7495396019,FA,Fastball,Fastball,96.1,-0.5,6.6,-1.4,6.3,86
-1.779176471,-0.1945595573,FA,Fastball,Fastball,97,-0.9,6.6,-1.5,6.3,90
-1.910682353,-0.3873116668,FA,Fastball,Fastball,95.9,-1.9,4.9,-1.6,6.3,88
-0.3303896471,0.6106089764,FA,Fastball,Fastball,96.8,0.7,6.5,-1.7,6.2,89
-1.034583529,1.085463363,SL,Slider,Slider,84.6,-8.4,-3.1,-1.7,6.1,105
-0.5794884706,0.1168257051,FA,Fastball,Fastball,96.8,-0.5,5.3,-1.6,6.3,92
0.5365129412,2.138756182,FA,Fastball,Fastball,96.8,0.8,8.6,-1.4,6.4,84
-1.546757647,0.9431811085,FA,Fastball,Fastball,96.2,-5.7,9.6,-1.2,6.4,82
-0.17892,-0.07974789911,FA,Fastball,Fastball,97.3,1.4,8.4,-1.4,6.3,86
-2.2308,0.05621155258,FA,Fastball,Fastball,94.6,-5.8,5.8,-1.4,6.3,78
-3.126790588,0.4586797514,FA,Fastball,Fastball,95.7,-3,8.8,-1.6,6.3,81
-0.8802084706,-1.322636866,FA,Fastball,Fastball,95.4,-0.3,8.1,-1.8,6.1,80
-0.7880470588,-0.4254570818,FA,Fastball,Fastball,94.9,1.2,5.9,-1.9,5.9,81
-0.5227990588,0.0558677333,FA,Fastball,Fastball,96.1,2.8,14.3,-1.7,6.4,77
-0.5453985882,0.209965318,FA,Fastball,Fastball,97,-3.1,0.7,-1.5,6,107
0.1209902118,1.028377213,FA,Fastball,Fastball,95.7,-1.1,3.4,-1.5,6.1,92
2.031825882,-0.6108580027,CH,Changeup,Changeup,91.3,8.6,4.2,-2,5.9,96
-1.629825882,0.2298667537,FA,Fastball,Fastball,96.2,-0.7,7.2,-1.7,6.1,85
1.990122353,1.292174362,CH,Changeup,Changeup,89.7,11.6,4.2,-1.9,5.9,89
1.732023529,0.760387438,FA,Fastball,Fastball,96.4,1.5,5.4,-1.8,6.2,90
-0.5366964706,1.113856769,FA,Fastball,Fastball,94.9,-0.4,6.4,-1.3,6.2,81
1.198547294,-0.3372768601,CH,Changeup,Changeup,91.9,6.7,5.8,-1.7,5.9,84
-0.7316569412,-2.378468038,FA,Fastball,Fastball,94.6,0.5,5.5,-1.4,6.2,81
-0.5347242353,0.6258472051,FA,Fastball,Fastball,95.6,2.8,7.4,-1.5,6.2,80
-1.873750588,0.4300220047,FA,Fastball,Fastball,95.1,-1.4,7.9,-1.3,6.4,80
-0.2452376471,-1.939515206,FA,Fastball,Fastball,95.1,7.4,8,-1.9,6.2,74
-1.329180706,-0.04643513998,FA,Fastball,Fastball,94,-3,14.2,-1.9,6.4,83
-0.5381844706,0.01040595125,FA,Fastball,Fastball,94.8,-0.8,9.2,-1.8,6.2,77
